# Reporte generado: 2025-12-11T22:32:58+00:00
# user: belen
# host: belen-IdeaPad
[PID 302864] Ejecutando: ./aggregate.sh 
command	nproc	cpu_avg	cpu_max	mem_avg	mem_max
gnome-shell	2	8.3	8.3	3.7	3.7
kworker/u16:0-e	1	1.1	1.1	0.0	0.0
gitkraken	2	3.1	3.1	3.6	3.6
Isolated	6	4.4	8.0	7.1	8.2
kworker/u16:0-i	1	1.1	1.1	0.0	0.0
kworker/u16:4-e	1	1.0	1.0	0.0	0.0
Xwayland	2	2.0	2.0	0.9	0.9
filter.sh	1	9.0	9.0	0.0	0.0
code	8	6.6	13.6	4.6	6.2
preprocess.sh	1	3.0	3.0	0.0	0.0
firefox	2	7.3	7.3	6.0	6.0
kworker/u16:4-i	1	1.0	1.0	0.0	0.0
